CLK, m = 10
n,Page Faults,Write-Backs
1,13521,7048
2,13522,7047
3,13520,7042
4,13524,7040
5,13528,7033
6,13515,7090
7,13505,7095
8,13483,7108
9,13515,7078
10,13493,7092
11,13519,7094
12,13524,7072
13,13538,7078
14,13525,7080
15,13572,7064
16,13545,7052
17,13561,7060
18,13560,7037
19,13580,7044
20,13571,7038
21,13544,7036
22,13550,7032
23,13536,7036
24,13552,7030
25,13569,7037
26,13565,7017
27,13564,7031
28,13473,6970
29,13553,7025
30,13533,6996
31,13576,7006
32,13553,6670


CLK, m = 10
m,Page Faults,Write-Backs
1,13521,7048
2,13522,7046
3,13520,7043
4,13524,7041
5,13519,7038
6,13529,7035
7,13532,7118
8,13536,7102
9,13555,7104
10,13483,7108
11,13535,7099
12,13559,7109
13,13550,7102
14,13560,7098
15,13584,7105
16,13545,7112
17,13549,7073
18,13533,7082
19,13602,7091
20,13579,7068
21,13620,7068
22,13627,7081
23,13555,7069
24,13573,7068
25,13549,7039
26,13604,7066
27,13552,7057
28,13543,7055
29,13521,7043
30,13594,7086
31,13547,7055
32,13521,7056
33,13578,7046
34,13560,7015
35,13564,7032
36,13602,7041
37,13550,7009
38,13588,7028
39,13606,7068
40,13589,7027
41,13554,7029
42,13566,7000
43,13536,6971
44,13621,7041
45,13584,7004
46,13571,7018
47,13517,6952
48,13526,6986
49,13559,6962
50,13528,6941
51,13527,6951
52,13629,6990
53,13566,6975
54,13585,6987
55,13485,6935
56,13555,6963
57,13530,6962
58,13547,6962
59,13572,6977
60,13601,6984
61,13615,6977
62,13540,6957
63,13573,6967
64,13550,6945
65,13528,6925
66,13562,6956
67,13578,6932
68,13560,6922
69,13488,6907
70,13578,6932
71,13531,6907
72,13593,6929
73,13569,6913
74,13506,6914
75,13593,6893
76,13611,6960
77,13570,6932
78,13545,6910
79,13564,6925
80,13568,6943
81,13555,6911
82,13519,6914
83,13520,6869
84,13592,6951
85,13605,6953
86,13596,6938
87,13534,6900
88,13618,6937
89,13599,6906
90,13580,6908
91,13584,6917
92,13582,6887
93,13592,6919
94,13572,6890
95,13571,6899
96,13592,6914
97,13623,6935
98,13552,6899
99,13526,6869
100,13559,6853
