FIFO
Frames,Page Faults,Write-Backs
1,15028,7431
2,14997,7424
3,14967,7414
4,14939,7406
5,14900,7401
6,14867,7394
7,14853,7389
8,14818,7381
9,14791,7374
10,14758,7368
11,14735,7361
12,14696,7350
13,14663,7344
14,14628,7338
15,14589,7330
16,14562,7318
17,14539,7314
18,14505,7304
19,14470,7295
20,14436,7284
21,14413,7278
22,14382,7271
23,14353,7264
24,14329,7255
25,14296,7252
26,14258,7244
27,14225,7237
28,14191,7226
29,14161,7219
30,14131,7211
31,14093,7205
32,14055,7196
33,14019,7188
34,13990,7183
35,13957,7175
36,13931,7163
37,13903,7155
38,13874,7146
39,13848,7141
40,13817,7131
41,13796,7121
42,13771,7115
43,13742,7108
44,13715,7096
45,13682,7086
46,13638,7072
47,13614,7066
48,13586,7064
49,13556,7056
50,13525,7051
51,13493,7043
52,13463,7032
53,13425,7021
54,13396,7014
55,13367,7010
56,13330,7002
57,13297,6991
58,13267,6985
59,13227,6973
60,13204,6967
61,13177,6960
62,13128,6946
63,13102,6938
64,13085,6933
65,13039,6922
66,13006,6913
67,12975,6904
68,12943,6896
69,12917,6889
70,12881,6880
71,12851,6877
72,12832,6870
73,12814,6867
74,12789,6859
75,12751,6848
76,12730,6840
77,12706,6837
78,12670,6820
79,12637,6809
80,12619,6800
81,12589,6793
82,12560,6787
83,12531,6778
84,12503,6771
85,12472,6767
86,12441,6760
87,12413,6750
88,12388,6744
89,12348,6734
90,12320,6722
91,12294,6714
92,12260,6704
93,12227,6697
94,12196,6686
95,12169,6677
96,12145,6670
97,12109,6659
98,12072,6652
99,12039,6644
100,12018,6639
