OPT
Frames,Page Faults,Write-Backs
1,15028,7424
2,14471,7152
3,14102,6981
4,13811,6834
5,13561,6703
6,13344,6600
7,13145,6516
8,12965,6422
9,12804,6345
10,12655,6281
11,12512,6212
12,12376,6141
13,12246,6081
14,12121,6026
15,12000,5959
16,11884,5905
17,11772,5837
18,11664,5782
19,11556,5724
20,11454,5677
21,11352,5634
22,11252,5583
23,11155,5540
24,11062,5496
25,10973,5451
26,10887,5406
27,10801,5362
28,10716,5313
29,10634,5269
30,10554,5234
31,10475,5191
32,10397,5146
33,10319,5110
34,10243,5075
35,10170,5037
36,10097,5005
37,10026,4965
38,9958,4931
39,9891,4896
40,9825,4867
41,9761,4830
42,9697,4797
43,9634,4768
44,9573,4742
45,9513,4705
46,9453,4678
47,9393,4654
48,9335,4633
49,9277,4610
50,9219,4586
51,9161,4556
52,9105,4521
53,9049,4489
54,8994,4458
55,8941,4433
56,8888,4408
57,8837,4387
58,8786,4357
59,8735,4334
60,8685,4305
61,8635,4284
62,8586,4265
63,8537,4246
64,8488,4218
65,8440,4190
66,8392,4164
67,8344,4140
68,8297,4121
69,8250,4101
70,8203,4077
71,8157,4057
72,8111,4031
73,8066,4010
74,8022,3992
75,7979,3972
76,7936,3948
77,7893,3929
78,7850,3910
79,7807,3884
80,7764,3855
81,7721,3835
82,7678,3812
83,7635,3793
84,7592,3771
85,7550,3741
86,7509,3713
87,7470,3691
88,7431,3668
89,7392,3650
90,7353,3633
91,7314,3613
92,7276,3594
93,7238,3573
94,7200,3552
95,7162,3530
96,7124,3509
97,7086,3490
98,7049,3470
99,7012,3454
100,6975,3433
